issue_category,ticket_count,total_cost,avg_resolution_time,avg_escalations,avg_satisfaction
Software,23745,4019380.8742541345,2.130945327435064,0.3051589808380712,4.446897742207287
Unknown,20100,3623671.9960194496,2.2322012165195364,0.3347761194029851,4.417549638565413
Network,16279,3573624.404888471,2.6628987607469115,0.4024817249216782,4.323133347314973
Hardware,15880,3197009.3012845544,2.4060805695866776,0.3938287153652393,4.378882224502463
Account/Access,16010,2315223.724744051,1.8001301286205702,0.30156152404747033,4.516630057225791
Other,7986,1411927.7891805754,2.2405008450347297,0.30929125970448285,4.415922800208441
